# Weather data downloaded from https://www.ncdc.noaa.gov/cdo-web/search
"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-05-15",,,"0.00","0.0","0.0",,"73","49",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-05-16",,,"0.00","0.0","0.0",,"77","50",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-05-17",,,"0.03","0.0","0.0",,"59","50",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-05-18",,,"0.21","0.0","0.0",,"62","46",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-05-19",,,"0.01","0.0","0.0",,"58","46",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-05-20",,,"0.00","0.0","0.0",,"65","47",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-05-21",,,"0.00","0.0","0.0",,"64","47",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-05-22",,,"0.00","0.0","0.0",,"64","45",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-05-23",,,"0.00","0.0","0.0",,"64","53",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-05-24",,,"0.07","0.0","0.0",,"62","51",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-05-25",,,"0.00","0.0","0.0",,"65","51",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-05-26",,,"0.00","0.0","0.0",,"65","51",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-05-27",,,"0.30","0.0","0.0",,"62","52",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-05-28",,,"0.00","0.0","0.0",,"64","50",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-05-29",,,"0.00","0.0","0.0",,"69","47",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-05-30",,,"0.00","0.0","0.0",,"73","50",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-05-31",,,"0.00","0.0","0.0",,"78","51",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-06-01",,,"0.00","0.0","0.0",,"83","54",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-06-02",,,"0.00","0.0","0.0",,"85","58",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-06-03",,,"0.00","0.0","0.0",,"77","55",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-06-04",,,"0.00","0.0","0.0",,"70","55",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-06-05",,,"0.04","0.0","0.0",,"65","51",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-06-06",,,"0.64","0.0","0.0",,"57","45",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-06-07",,,"0.22","0.0","0.0",,"63","45",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-06-08",,,"0.00","0.0","0.0",,"69","46",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-06-09",,,"0.00","0.0","0.0",,"68","50",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-06-10",,,"0.00","0.0","0.0",,"67","52",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-06-11",,,"0.28","0.0","0.0",,"60","52",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-06-12",,,"0.14","0.0","0.0",,"74","52",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-06-13",,,"0.69","0.0","0.0",,"67","58",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-06-14",,,"0.07","0.0","0.0",,"66","57",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-06-15",,,"0.01","0.0","0.0",,"70","55",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-06-16",,,"0.00","0.0","0.0",,"71","54",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-06-17",,,"0.00","0.0","0.0",,"76","51",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-06-18",,,"0.00","0.0","0.0",,"73","55",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-06-19",,,"0.00","0.0","0.0",,"76","53",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-06-20",,,"0.00","0.0","0.0",,"79","58",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-06-21",,,"0.00","0.0","0.0",,"84","57",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-06-22",,,"0.00","0.0","0.0",,"80","60",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-06-23",,,"0.00","0.0","0.0",,"75","57",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-06-24",,,"0.00","0.0","0.0",,"80","58",
"USW00094290","SEATTLE SAND POINT WEATHER FORECAST OFFICE, WA US","2021-06-25",,,"0.00","0.0","0.0",,"87","63",
